Rank,Player,Team,Position,Age,Best,Worst,Avg,StdDev,PosRank
1,J. Allen,BUF,QB,30,1,3,1.3,,
2,D. Maye,NE,QB,23,1,10,2.6,,
3,J. Daniels,WAS,QB,25,3,11,5.3,,
4,J. Chase,CIN,WR,26,1,8,6.0,,
5,L. Jackson,BAL,QB,29,2,27,6.1,,
6,J. Smith-Njigba,SEA,WR,24,2,15,8.6,,
7,J. Burrow,CIN,QB,29,4,21,8.7,,
8,P. Nacua,LAR,WR,25,5,22,10.1,,
9,B. Robinson,ATL,RB,24,4,18,11.3,,
10,C. Williams,CHI,QB,24,4,43,12.3,,
11,J. Gibbs,DET,RB,24,5,19,12.7,,
12,P. Mahomes II,KC,QB,30,6,26,14.3,,
13,J. Herbert,LAC,QB,28,6,44,14.7,,
14,J. Hurts,PHI,QB,27,5,29,15.6,,
15,J. Jefferson,MIN,WR,27,9,27,15.8,,
16,A. St. Brown,DET,WR,26,9,26,16.9,,
17,C. Lamb,DAL,WR,27,10,30,18.0,,
18,A. Jeanty,LV,RB,22,11,27,20.1,,
19,M. Nabers,NYG,WR,22,10,33,20.4,,
20,D. London,ATL,WR,24,13,30,22.3,,
21,T. Lawrence,JAC,QB,26,11,53,22.7,,
22,J. Dart,NYG,QB,23,12,47,24.1,,
23,B. Purdy,SF,QB,26,14,50,25.4,,
25,D. Achane,MIA,RB,24,20,39,27.5,,
26,Bo Nix,DEN,QB,26,14,61,27.8,,
27,O. Hampton,LAC,RB,23,18,45,29.4,,
28,B. Bowers,LV,TE,23,11,43,30.0,,
29,T. McMillan,CAR,WR,23,23,46,31.1,,
30,J. Taylor,IND,RB,27,21,48,32.6,,
31,N. Collins,HOU,WR,27,20,41,32.7,,
32,J. Cook III,BUF,RB,26,21,48,33.4,,
33,D. Prescott,DAL,QB,32,17,56,34.0,,
34,T. McBride,ARI,TE,26,15,59,34.8,,
35,G. Pickens,DAL,WR,25,23,70,35.9,,
36,J. Love,GB,QB,27,15,68,36.3,,
37,E. Egbuka,TB,WR,23,27,52,36.6,,
38,C. Olave,NO,WR,26,25,49,39.1,,
39,G. Wilson,NYJ,WR,25,24,58,40.2,,
40,C. Tate,TEN,WR,21,25,86,41.9,,
41,K. Walker III,KC,RB,25,30,67,43.1,,
