Rank,Player,Position,"Pos Rank",Team,Age,Value
1,"Josh Allen",QB,1,BUF,30.1,10000
2,"Bijan Robinson",RB,1,ATL,24.4,9863
3,"Jaxon Smith-Njigba",WR,1,SEA,24.3,9065
4,"Ja'Marr Chase",WR,2,CIN,26.3,9010
5,"Jahmyr Gibbs",RB,2,DET,24.2,8810
6,"Drake Maye",QB,2,NE,23.8,8396
7,"Puka Nacua",WR,3,LAR,25.0,8243
8,"Caleb Williams",QB,3,CHI,24.6,7364
9,"Jayden Daniels",QB,4,WAS,25.5,7032
10,"Ashton Jeanty",RB,3,LV,22.5,6895
11,"Lamar Jackson",QB,5,BAL,29.4,6809
12,"Joe Burrow",QB,6,CIN,29.5,6746
13,"Justin Jefferson",WR,4,MIN,27.0,6726
14,"Amon-Ra St. Brown",WR,5,DET,26.6,6718
15,"Malik Nabers",WR,6,NYG,22.9,6623
16,"Jeremiyah Love",RB,4,ARI,21.0,6116
17,"Brock Bowers",TE,1,LV,23.5,5958
18,"CeeDee Lamb",WR,7,DAL,27.2,5940
19,"De'Von Achane",RB,5,MIA,24.7,5840
20,"Omarion Hampton",RB,6,LAC,23.2,5688
21,"Justin Herbert",QB,7,LAC,28.2,5650
22,"Trey McBride",TE,2,ARI,26.5,5586
23,"Patrick Mahomes",QB,8,KC,30.7,5412
24,"Jalen Hurts",QB,9,PHI,27.8,5345
25,"Jaxson Dart",QB,10,NYG,23.1,5324
26,"Drake London",WR,8,ATL,24.9,5184
27,"2027 Early 1st",PICK,,2027,,5122
28,"Jonathan Taylor",RB,7,IND,27.4,5033
29,"James Cook",RB,8,BUF,26.7,4991
30,"Tetairoa McMillan",WR,9,CAR,23.2,4784
31,"Carnell Tate",WR,10,TEN,21.4,4706
32,"Trevor Lawrence",QB,11,JAX,26.7,4629
33,"Bo Nix",QB,12,DEN,26.3,4603
34,"Fernando Mendoza",QB,13,LV,22.7,4538
35,"Emeka Egbuka",WR,11,TB,23.7,4086
36,"Brock Purdy",QB,14,SF,26.5,4051
37,"George Pickens",WR,12,DAL,25.3,3960
38,"Nico Collins",WR,13,HOU,27.2,3798
39,"Jordyn Tyson",WR,14,NO,21.8,3761
40,"Christian McCaffrey",RB,9,SF,30.0,3728
41,"Kenneth Walker",RB,10,KC,25.6,3684
42,"Breece Hall",RB,11,NYJ,25.0,3584
43,"Quinshon Judkins",RB,12,CLE,22.6,3460
44,"2028 Early 1st",PICK,,2028,,3442
45,"Colston Loveland",TE,3,CHI,22.2,3436
46,"Makai Lemon",WR,15,PHI,22.0,3382
47,"Tyler Warren",TE,4,IND,24.0,3370
48,"Dak Prescott",QB,15,DAL,32.9,3287
49,"Garrett Wilson",WR,16,NYJ,25.9,3287
50,"Cam Ward",QB,16,TEN,24.0,3287
51,"TreVeyon Henderson",RB,13,NE,23.6,3282
52,"Rome Odunze",WR,17,CHI,24.0,3220
53,"Jadarian Price",RB,14,SEA,22.7,3190
54,"Chris Olave",WR,18,NO,25.9,3181
55,"Saquon Barkley",RB,15,PHI,29.3,3175
56,"Jordan Love",QB,17,GB,27.6,3166
57,"Ladd McConkey",WR,19,LAC,24.6,3148
58,"Bucky Irving",RB,16,TB,23.8,3095
59,"Chase Brown",RB,17,CIN,26.2,3059
