Player,Position,Team,Games,PassAtt,PassComp,PassYds,PassTD,RushAtt,RushYds,RushTD,Targets,Receptions,RecYds,RecTD,ProjPts,YPRR_2025,YAC_2025
Jahmyr Gibbs,RB,DET,17,,,,,283,1373,14,86,68,547,3,365.0,0.88,334
Puka Nacua,WR,LAR,17,,,,,,,,174,123,1590,10,357.0,3.73,701
Bijan Robinson,RB,ATL,17,,,,,286,1371,8,99,76,712,3,353.0,0.78,412
Christian McCaffrey,RB,SF,17,,,,,279,1149,10,100,80,692,5,350.0,0.82,378
Ja'Marr Chase,WR,CIN,17,,,,,,,,172,119,1507,11,336.0,2.48,698
Jaxon Smith-Njigba,WR,SEA,17,,,,,,,,166,117,1569,9,327.0,3.61,643
Amon-Ra St. Brown,WR,DET,17,,,,,,,,167,118,1430,10,324.0,2.31,589
Jonathan Taylor,RB,IND,17,,,,,327,1510,12,58,47,346,1,309.0,,
De'Von Achane,RB,MIA,17,,,,,266,1348,5,80,65,512,3,298.0,1.12,432
CeeDee Lamb,WR,DAL,17,,,,,,,,158,104,1381,9,295.0,2.21,471
Justin Jefferson,WR,MIN,17,,,,,,,,166,111,1375,7,293.0,2.28,562
James Cook,RB,BUF,17,,,,,300,1400,11,46,36,302,2,279.0,0.64,298
Omarion Hampton,RB,LAC,17,,,,,270,1153,10,69,56,393,2,279.0,,
Jeremiyah Love,RB,ARI,17,,,,,255,1129,7,86,65,489,2,279.0,,
Derrick Henry,RB,BAL,17,,,,,317,1480,13,28,21,210,1,274.0,,
Saquon Barkley,RB,PHI,17,,,,,301,1285,9,59,43,370,2,273.0,,
Breece Hall,RB,NYJ,17,,,,,265,1163,8,64,52,436,3,273.0,0.82,321
Chase Brown,RB,CIN,17,,,,,240,1045,7,80,64,434,3,272.0,0.72,274
Drake London,WR,ATL,17,,,,,,,,159,102,1257,7,271.0,2.18,467
Rashee Rice,WR,KC,17,,,,,,,,136,96,1133,9,270.0,2.06,428
Javonte Williams,RB,DAL,17,,,,,287,1256,11,51,37,219,2,259.0,,
Garrett Wilson,WR,NYJ,17,,,,,,,,154,103,1212,5,257.0,1.91,367
Trey McBride,TE,ARI,17,,,,,,,,155,112,1068,6,252.0,1.98,589
Nico Collins,WR,HOU,17,,,,,,,,137,86,1213,7,249.0,1.81,387
AJ Brown,WR,NE,17,,,,,,,,130,86,1215,7,248.0,2.08,312
Chris Olave,WR,NO,17,,,,,,,,142,90,1162,6,245.0,1.94,398
Kyren Williams,RB,LAR,17,,,,,250,1133,11,45,33,224,2,242.0,0.67,289
Cam Skattebo,RB,NYG,17,,,,,249,1047,7,61,49,365,2,242.0,,
Travis Etienne,RB,NO,17,,,,,258,1117,6,60,45,376,2,241.0,,
Brock Bowers,TE,LV,17,,,,,,,,135,98,995,7,240.0,2.12,632
Zay Flowers,WR,BAL,17,,,,,,,,117,82,1173,6,239.0,2.51,398
Tetairoa McMillan,WR,CAR,17,,,,,,,,140,83,1191,6,239.0,,
George Pickens,WR,DAL,17,,,,,,,,125,80,1116,8,239.0,1.78,264
DeVonta Smith,WR,PHI,17,,,,,,,,128,90,1127,6,238.0,2.09,378
Bucky Irving,RB,TB,17,,,,,262,1062,6,48,39,313,2,222.0,,
Ladd McConkey,WR,LAC,17,,,,,,,,122,80,1033,6,220.0,1.96,487
Terry McLaurin,WR,WAS,17,,,,,,,,119,81,1043,6,219.0,1.74,308
Emeka Egbuka,WR,TB,17,,,,,,,,123,67,1078,7,219.0,1.68,298
Malik Nabers,WR,NYG,17,,,,,,,,120,76,1003,7,218.0,2.12,498
Tee Higgins,WR,CIN,17,,,,,,,,114,73,955,8,218.0,1.87,298
Rome Odunze,WR,CHI,17,,,,,,,,118,59,1029,8,213.0,1.98,362
Jaylen Waddle,WR,DEN,17,,,,,,,,119,77,991,6,213.0,1.77,387
D'Andre Swift,RB,CHI,17,,,,,219,994,8,41,30,269,1,212.0,,
Carnell Tate,WR,TEN,17,,,,,,,,127,78,1068,5,211.0,,
DJ Moore,WR,BUF,17,,,,,,,,107,67,946,7,210.0,,
TreVeyon Henderson,RB,NE,17,,,,,194,854,7,52,43,300,2,208.0,,
Tyler Warren,TE,IND,17,,,,,,,,115,87,870,5,208.0,,
Colston Loveland,TE,CHI,17,,,,,,,,118,80,897,6,206.0,1.68,287
Courtland Sutton,WR,DEN,17,,,,,,,,119,69,893,8,204.0,1.82,302
Alec Pierce,WR,IND,17,,,,,,,,115,68,1024,5,203.0,,
Michael Pittman Jr.,WR,PIT,17,,,,,,,,130,88,860,4,197.0,,
DK Metcalf,WR,PIT,17,,,,,,,,113,65,941,6,195.0,1.84,278
Jadarian Price,RB,SEA,17,,,,,223,922,8,35,27,212,1,194.0,,
Marvin Harrison Jr.,WR,ARI,17,,,,,,,,126,69,956,5,194.0,1.92,412
